# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
101,1_76,SYSTEM,1,0.0,1
101,1_76,Role 1,76,0.05,1
102,18_92,SYSTEM,18,0.0,1
102,18_92,Role 1,92,0.04,1
103,4_29,SYSTEM,4,0.0,1
103,4_29,Role 1,29,0.14,1
104,110_112,SYSTEM,110,0.0,1
104,110_112,Role 1,112,0.04,1
105,118_46,SYSTEM,118,0.0,1
105,118_46,Role 1,46,0.09,1
106,124_83,SYSTEM,124,0.0,1
106,124_83,Role 1,83,0.05,1
107,15_84,SYSTEM,15,0.0,1
107,15_84,Role 1,84,0.05,1
108,33_17,SYSTEM,33,0.0,1
108,33_17,Role 1,17,0.24,1
109,28_49,SYSTEM,28,0.0,1
109,28_49,Role 1,49,0.08,1
110,41_29,SYSTEM,41,0.0,1
110,41_29,Role 1,29,0.14,1
111,19_83,SYSTEM,19,0.0,1
111,19_83,Role 1,83,0.05,1
112,62_22,SYSTEM,62,0.0,1
112,62_22,Role 1,22,0.18,1
113,24_97,SYSTEM,24,0.0,1
113,24_97,Role 1,97,0.04,1
114,2_98,SYSTEM,2,0.0,1
114,2_98,Role 1,98,0.04,1
115,54_86,SYSTEM,54,0.0,1
115,54_86,Role 1,86,0.05,1
116,14_23,SYSTEM,14,0.0,1
116,14_23,Role 1,23,0.17,1
117,21_7,SYSTEM,21,0.0,1
117,21_7,Role 1,7,0.57,1
118,1_7,SYSTEM,1,0.0,1
118,1_7,Role 1,7,0.58,1
119,3_46,SYSTEM,3,0.0,1
119,3_46,Role 1,46,0.09,1
120,11_19,SYSTEM,11,0.0,1
120,11_19,Role 1,19,0.21,1
121,2_103,SYSTEM,2,0.0,1
121,2_103,Role 1,103,0.04,1
122,109_87,SYSTEM,109,0.0,1
122,109_87,Role 1,87,0.04,1
123,18_10,SYSTEM,18,0.0,1
123,18_10,Role 1,10,0.41,1
124,33_11,SYSTEM,33,0.0,1
124,33_11,Role 1,11,0.36,1
125,21_5,SYSTEM,21,0.0,1
125,21_5,Role 1,5,0.8,1
126,1_25,SYSTEM,1,0.0,1
126,1_25,Role 1,25,0.16,1
127,2_25,SYSTEM,2,0.0,1
127,2_25,Role 1,25,0.16,1
128,12_10,SYSTEM,12,0.0,1
128,12_10,Role 1,10,0.4,1
129,11_56,SYSTEM,11,0.0,1
129,11_56,Role 1,56,0.07,1
130,66_83,SYSTEM,66,0.0,1
130,66_83,Role 1,83,0.05,1
131,118_33,SYSTEM,118,0.0,1
131,118_33,Role 1,33,0.12,1
132,35_63,SYSTEM,35,0.0,1
132,35_63,Role 1,63,0.07,1
133,1_30,SYSTEM,1,0.0,1
133,1_30,Role 1,30,0.13,1
134,123_23,SYSTEM,123,0.0,1
134,123_23,Role 1,23,0.17,1
135,34_9,SYSTEM,34,0.0,1
135,34_9,Role 1,9,0.45,1
136,5_42,SYSTEM,5,0.0,1
136,5_42,Role 1,42,0.1,1
137,1_34,SYSTEM,1,0.0,1
137,1_34,Role 1,34,0.12,1
138,32_4,SYSTEM,32,0.0,1
138,32_4,Role 1,4,0.98,1
139,33_51,SYSTEM,33,0.0,1
139,33_51,Role 1,51,0.08,1
140,3_16,SYSTEM,3,0.0,1
140,3_16,Role 1,16,0.25,1
141,18_46,SYSTEM,18,0.0,1
141,18_46,Role 1,46,0.09,1
142,119_20,SYSTEM,119,0.0,1
142,119_20,Role 1,20,0.21,1
143,19_17,SYSTEM,19,0.0,1
143,19_17,Role 1,17,0.23,1
144,29_5,SYSTEM,29,0.0,1
144,29_5,Role 1,5,0.8,1
145,2_21,SYSTEM,2,0.0,1
145,2_21,Role 1,21,0.19,1
146,62_44,SYSTEM,62,0.0,1
146,62_44,Role 1,44,0.09,1
147,28_50,SYSTEM,28,0.0,1
147,28_50,Role 1,50,0.08,1
148,2_43,SYSTEM,2,0.0,1
148,2_43,Role 1,43,0.09,1
149,21_8,SYSTEM,21,0.0,1
149,21_8,Role 1,8,0.51,1
150,9_94,SYSTEM,9,0.0,1
150,9_94,Role 1,94,0.04,1
151,30_78,SYSTEM,30,0.0,1
151,30_78,Role 1,78,0.05,1
152,7_36,SYSTEM,7,0.0,1
152,7_36,Role 1,36,0.11,1
153,4_85,SYSTEM,4,0.0,1
153,4_85,Role 1,85,0.05,1
154,7_31,SYSTEM,7,0.0,1
154,7_31,Role 1,31,0.13,1
155,4_24,SYSTEM,4,0.0,1
155,4_24,Role 1,24,0.17,1
156,12_32,SYSTEM,12,0.0,1
156,12_32,Role 1,32,0.12,1
157,121_106,SYSTEM,121,0.0,1
157,121_106,Role 1,106,0.04,1
158,2_73,SYSTEM,2,0.0,1
158,2_73,Role 1,73,0.05,1
159,21_9,SYSTEM,21,0.0,1
159,21_9,Role 1,9,0.45,1
160,19_25,SYSTEM,19,0.0,1
160,19_25,Role 1,25,0.16,1
161,3_24,SYSTEM,3,0.0,1
161,3_24,Role 1,24,0.17,1
162,7_12,SYSTEM,7,0.0,1
162,7_12,Role 1,12,0.33,1
163,106_44,SYSTEM,106,0.0,1
163,106_44,Role 1,44,0.09,1
164,15_10,SYSTEM,15,0.0,1
164,15_10,Role 1,10,0.39,1
165,9_6,SYSTEM,9,0.0,1
165,9_6,Role 1,6,0.67,1
166,5_44,SYSTEM,5,0.0,1
166,5_44,Role 1,44,0.09,1
167,14_36,SYSTEM,14,0.0,1
167,14_36,Role 1,36,0.11,1
168,3_27,SYSTEM,3,0.0,1
168,3_27,Role 1,27,0.15,1
169,117_44,SYSTEM,117,0.0,1
169,117_44,Role 1,44,0.09,1
170,124_22,SYSTEM,124,0.0,1
170,124_22,Role 1,22,0.18,1
171,27_52,SYSTEM,27,0.0,1
171,27_52,Role 1,52,0.08,1
172,3_34,SYSTEM,3,0.0,1
172,3_34,Role 1,34,0.12,1
173,34_20,SYSTEM,34,0.0,1
173,34_20,Role 1,20,0.2,1
174,21_49,SYSTEM,21,0.0,1
174,21_49,Role 1,49,0.08,1
175,119_87,SYSTEM,119,0.0,1
175,119_87,Role 1,87,0.05,1
176,116_91,SYSTEM,116,0.0,1
176,116_91,Role 1,91,0.05,1
177,3_19,SYSTEM,3,0.0,1
177,3_19,Role 1,19,0.22,1
178,115_31,SYSTEM,115,0.0,1
178,115_31,Role 1,31,0.13,1
179,6_7,SYSTEM,6,0.0,1
179,6_7,Role 1,7,0.58,1
180,4_22,SYSTEM,4,0.0,1
180,4_22,Role 1,22,0.18,1
181,2_52,SYSTEM,2,0.0,1
181,2_52,Role 1,52,0.08,1
182,3_98,SYSTEM,3,0.0,1
182,3_98,Role 1,98,0.04,1
183,2_94,SYSTEM,2,0.0,1
183,2_94,Role 1,94,0.04,1
184,5_7,SYSTEM,5,0.0,1
184,5_7,Role 1,7,0.57,1
