# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
63,50_62_46,Role 2,46,0.92,1
64,46_20_18,SYSTEM,46,0.0,1
64,46_20_18,Role 1,20,0.01,1
64,46_20_18,Role 2,18,0.97,1
65,55_14_60,SYSTEM,55,0.0,1
65,55_14_60,Role 1,14,0.04,1
65,55_14_60,Role 2,60,0.84,1
66,39_30_65,SYSTEM,39,0.0,1
66,39_30_65,Role 1,30,0.02,1
66,39_30_65,Role 2,65,0.87,1
67,28_4_35,SYSTEM,28,0.0,1
67,28_4_35,Role 1,4,0.1,1
67,28_4_35,Role 2,35,0.95,1
68,13_21_27,SYSTEM,13,0.0,1
68,13_21_27,Role 1,21,0.02,1
68,13_21_27,Role 2,27,0.96,1
69,31_64_30,SYSTEM,31,0.0,1
69,31_64_30,Role 1,64,0.01,1
69,31_64_30,Role 2,30,0.95,1
70,3_12_59,SYSTEM,3,0.0,1
70,3_12_59,Role 1,12,0.05,1
70,3_12_59,Role 2,59,0.85,1
71,47_28_46,SYSTEM,47,0.0,1
71,47_28_46,Role 1,28,0.02,1
71,47_28_46,Role 2,46,0.93,1
72,4_48_23,SYSTEM,4,0.0,1
72,4_48_23,Role 1,48,0.01,1
72,4_48_23,Role 2,23,0.97,1
73,3_11_54,SYSTEM,3,0.0,1
73,3_11_54,Role 1,11,0.06,1
73,3_11_54,Role 2,54,0.93,1
74,45_14_48,SYSTEM,45,0.0,1
74,45_14_48,Role 1,14,0.04,1
74,45_14_48,Role 2,48,0.95,1
75,5_15_53,SYSTEM,5,0.0,1
75,5_15_53,Role 1,15,0.04,1
75,5_15_53,Role 2,53,0.95,1
76,42_27_49,SYSTEM,42,0.0,1
76,42_27_49,Role 1,27,0.02,1
76,42_27_49,Role 2,49,0.93,1
77,64_21_15,SYSTEM,64,0.0,1
77,64_21_15,Role 1,21,0.01,1
77,64_21_15,Role 2,15,0.99,1
78,29_4_62,SYSTEM,29,0.0,1
78,29_4_62,Role 1,4,0.18,1
78,29_4_62,Role 2,62,0.94,1
79,50_66_61,SYSTEM,50,0.0,1
79,50_66_61,Role 1,66,0.01,1
79,50_66_61,Role 2,61,0.92,1
80,45_10_58,SYSTEM,45,0.0,1
80,45_10_58,Role 1,10,0.06,1
80,45_10_58,Role 2,58,0.9,1
81,11_66_50,SYSTEM,11,0.0,1
81,11_66_50,Role 1,66,0.01,1
81,11_66_50,Role 2,50,0.92,1
82,5_12_59,SYSTEM,5,0.0,1
82,5_12_59,Role 1,12,0.05,1
82,5_12_59,Role 2,59,0.91,1
83,5_18_53,SYSTEM,5,0.0,1
83,5_18_53,Role 1,18,0.03,1
83,5_18_53,Role 2,53,0.89,1
84,8_28_62,SYSTEM,8,0.0,1
84,8_28_62,Role 1,28,0.02,1
84,8_28_62,Role 2,62,0.9,1
85,14_21_53,SYSTEM,14,0.0,1
85,14_21_53,Role 1,21,0.03,1
85,14_21_53,Role 2,53,0.96,1
86,2_13_56,SYSTEM,2,0.0,1
86,2_13_56,Role 1,13,0.05,1
86,2_13_56,Role 2,56,0.94,1
87,35_2_62,SYSTEM,35,0.0,1
87,35_2_62,Role 1,2,0.35,1
87,35_2_62,Role 2,62,0.92,1
88,30_4_33,SYSTEM,30,0.0,1
88,30_4_33,Role 1,4,0.09,1
88,30_4_33,Role 2,33,0.92,1
89,59_27_60,SYSTEM,59,0.0,1
89,59_27_60,Role 1,27,0.02,1
89,59_27_60,Role 2,60,0.88,1
90,45_34_61,SYSTEM,45,0.0,1
90,45_34_61,Role 1,34,0.02,1
90,45_34_61,Role 2,61,0.93,1
91,3_14_58,SYSTEM,3,0.0,1
91,3_14_58,Role 1,14,0.04,1
91,3_14_58,Role 2,58,0.88,1
92,3_14_50,SYSTEM,3,0.0,1
92,3_14_50,Role 1,14,0.04,1
92,3_14_50,Role 2,50,0.96,1
93,10_27_53,SYSTEM,10,0.0,1
