Total Solutions Generated,142
Total Iterations,54

# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
41,20_44_25,194894.7463888889,1871764.632509674,7883383.0,78530.09536879533,173485.0
42,1_44_19,179302.08,2440089.1593156355,10085742.0,46717.228911698796,160372.0
43,20_1_19,114199.17777777778,3211986.4921805346,10277926.0,61076.48340245662,181083.0
44,15_44_24,186786.1741666667,1966511.2773146173,8101569.0,83645.76534883701,110524.0
45,20_39_24,187520.00944444447,1962828.5081926289,8133398.0,79010.37403108762,242210.0
46,20_43_19,232184.3438888889,2536549.621222137,10193459.0,33894.163956524804,120822.0
47,20_44_20,225308.60333333333,2340802.139665011,9656083.0,47280.90778884478,157951.0
48,20_44_31,164152.26805555556,1510941.148093327,6220507.0,36335.38780612708,132513.0
49,20_44_32,165872.98666666666,1468383.731027806,6220237.0,58708.95745440386,127283.0
50,1_44_25,149958.375,1894036.486897993,7712145.0,56150.36881704861,177544.0
51,20_1_25,96904.08555555555,2554948.4406276504,7583798.0,19866.95336238807,131496.0
52,14_44_31,158038.46194444445,1508599.9084471741,6392567.0,43862.12964411313,145296.0
53,20_38_31,154832.13805555555,1529014.9894208512,6262873.0,38241.19063474983,145051.0
54,20_43_25,186287.10222222222,1854583.6760420427,7620836.0,51087.65156254405,169457.0
55,20_44_26,183132.125,1772965.2344600179,7325285.0,71607.05586906988,127886.0
56,20_44_39,148548.7172222222,1212675.4295423625,5191994.0,24852.39386941213,95716.0
57,20_44_40,141635.43333333332,1177227.1392133546,4902765.0,30588.50209468836,155218.0
58,1_44_32,134288.29944444445,1503023.3680826498,6278414.0,30792.399493128527,194622.0
59,20_1_32,92392.26472222223,2120760.324245591,6275701.0,44354.1048223821,164611.0
60,13_44_39,140067.89333333334,1200093.5600575784,5252546.0,12977.08879946242,87532.0
61,20_37_39,140590.40000000002,1189838.6276145435,5272140.0,44031.23443070287,187745.0
62,20_43_32,164974.4402777778,1477142.2465448554,6251663.0,45238.1078781297,137552.0
63,20_44_33,161581.6838888889,1440584.7584765486,5996846.0,46023.24963988061,140334.0
64,20_44_48,135380.2488888889,990045.8835741208,4351508.0,31824.289301585755,170832.0
65,20_44_49,134206.11361111113,958541.1380049727,4275593.0,32404.80818049761,32690.0
66,1_44_40,119028.80555555555,1202215.0588400962,5041220.0,28475.991699062986,114926.0
67,20_1_40,87359.94694444445,1853775.3947037694,5155669.0,45527.2965041704,126244.0
68,12_44_48,124857.28666666668,1013980.6195979008,4321983.0,35806.57750738703,57399.0
69,20_36_48,125252.11111111111,993555.5991341457,4335650.0,37171.44762343448,80195.0
70,20_43_40,146371.32583333337,1187375.7190831795,5115891.0,50558.0422301176,93228.0
71,20_44_41,137165.37916666668,1156298.942774069,4702813.0,21049.593775071437,76810.0
